"D:\Program Files\Java\jdk-11.0.14\bin\java.exe" "-javaagent:D:\Program Files\JetBrains\IntelliJ IDEA 2021.1\lib\idea_rt.jar=63641:D:\Program Files\JetBrains\IntelliJ IDEA 2021.1\bin" -Dfile.encoding=UTF-8 -classpath E:\idea_workspace\akka\learn_akka_new\akka-sample-sharding-java\killrweather-fog\target\classes;E:\maven_repository\com\typesafe\akka\akka-actor-typed_2.13\2.6.19\akka-actor-typed_2.13-2.6.19.jar;E:\maven_repository\org\scala-lang\scala-library\2.13.8\scala-library-2.13.8.jar;E:\maven_repository\com\typesafe\akka\akka-actor_2.13\2.6.19\akka-actor_2.13-2.6.19.jar;E:\maven_repository\com\typesafe\config\1.4.2\config-1.4.2.jar;E:\maven_repository\org\scala-lang\modules\scala-java8-compat_2.13\1.0.0\scala-java8-compat_2.13-1.0.0.jar;E:\maven_repository\com\typesafe\akka\akka-slf4j_2.13\2.6.19\akka-slf4j_2.13-2.6.19.jar;E:\maven_repository\org\slf4j\slf4j-api\1.7.36\slf4j-api-1.7.36.jar;E:\maven_repository\com\typesafe\akka\akka-stream-typed_2.13\2.6.19\akka-stream-typed_2.13-2.6.19.jar;E:\maven_repository\com\typesafe\akka\akka-stream_2.13\2.6.19\akka-stream_2.13-2.6.19.jar;E:\maven_repository\com\typesafe\akka\akka-protobuf-v3_2.13\2.6.19\akka-protobuf-v3_2.13-2.6.19.jar;E:\maven_repository\org\reactivestreams\reactive-streams\1.0.3\reactive-streams-1.0.3.jar;E:\maven_repository\com\typesafe\ssl-config-core_2.13\0.4.3\ssl-config-core_2.13-0.4.3.jar;E:\maven_repository\org\scala-lang\modules\scala-parser-combinators_2.13\1.1.2\scala-parser-combinators_2.13-1.1.2.jar;E:\maven_repository\com\typesafe\akka\akka-serialization-jackson_2.13\2.6.19\akka-serialization-jackson_2.13-2.6.19.jar;E:\maven_repository\com\fasterxml\jackson\core\jackson-core\2.11.4\jackson-core-2.11.4.jar;E:\maven_repository\com\fasterxml\jackson\core\jackson-annotations\2.11.4\jackson-annotations-2.11.4.jar;E:\maven_repository\com\fasterxml\jackson\core\jackson-databind\2.11.4\jackson-databind-2.11.4.jar;E:\maven_repository\com\fasterxml\jackson\datatype\jackson-datatype-jdk8\2.11.4\jackson-datatype-jdk8-2.11.4.jar;E:\maven_repository\com\fasterxml\jackson\datatype\jackson-datatype-jsr310\2.11.4\jackson-datatype-jsr310-2.11.4.jar;E:\maven_repository\com\fasterxml\jackson\module\jackson-module-parameter-names\2.11.4\jackson-module-parameter-names-2.11.4.jar;E:\maven_repository\com\fasterxml\jackson\dataformat\jackson-dataformat-cbor\2.11.4\jackson-dataformat-cbor-2.11.4.jar;E:\maven_repository\com\fasterxml\jackson\module\jackson-module-scala_2.13\2.11.4\jackson-module-scala_2.13-2.11.4.jar;E:\maven_repository\com\fasterxml\jackson\module\jackson-module-paranamer\2.11.4\jackson-module-paranamer-2.11.4.jar;E:\maven_repository\com\thoughtworks\paranamer\paranamer\2.8\paranamer-2.8.jar;E:\maven_repository\org\lz4\lz4-java\1.8.0\lz4-java-1.8.0.jar;E:\maven_repository\com\typesafe\akka\akka-http_2.13\10.1.11\akka-http_2.13-10.1.11.jar;E:\maven_repository\com\typesafe\akka\akka-http-core_2.13\10.1.11\akka-http-core_2.13-10.1.11.jar;E:\maven_repository\com\typesafe\akka\akka-parsing_2.13\10.1.11\akka-parsing_2.13-10.1.11.jar;E:\maven_repository\com\typesafe\akka\akka-http-jackson_2.13\10.1.11\akka-http-jackson_2.13-10.1.11.jar;E:\maven_repository\ch\qos\logback\logback-classic\1.2.9\logback-classic-1.2.9.jar;E:\maven_repository\ch\qos\logback\logback-core\1.2.9\logback-core-1.2.9.jar sample.killrweather.fog.Fog
SLF4J: A number (4) of logging calls during the initialization phase have been intercepted and are
SLF4J: now being replayed. These are subject to the filtering rules of the underlying logging system.
SLF4J: See also http://www.slf4j.org/codes.html#replay
[2022-07-12 13:51:38,149] [INFO] [akka.event.slf4j.Slf4jLogger] [Fog-akka.actor.default-dispatcher-3] [] - Slf4jLogger started
[2022-07-12 13:51:43,420] [INFO] [akka.actor.ActorCell] [Fog-akka.actor.default-dispatcher-8] [akka://Fog/user/weather-station-6] - Successfully registered data: DataRecorded{wsid='6'} from event time: 1657605101545
[2022-07-12 13:51:43,420] [INFO] [akka.actor.ActorCell] [Fog-akka.actor.default-dispatcher-10] [akka://Fog/user/weather-station-4] - Successfully registered data: DataRecorded{wsid='4'} from event time: 1657605101545
[2022-07-12 13:51:43,420] [INFO] [akka.actor.ActorCell] [Fog-akka.actor.default-dispatcher-6] [akka://Fog/user/weather-station-14] - Successfully registered data: DataRecorded{wsid='14'} from event time: 1657605101545
[2022-07-12 13:51:43,420] [INFO] [akka.actor.ActorCell] [Fog-akka.actor.default-dispatcher-17] [akka://Fog/user/weather-station-8] - Successfully registered data: DataRecorded{wsid='8'} from event time: 1657605101545
[2022-07-12 13:51:43,420] [INFO] [akka.actor.ActorCell] [Fog-akka.actor.default-dispatcher-14] [akka://Fog/user/weather-station-12] - Successfully registered data: DataRecorded{wsid='12'} from event time: 1657605101545
[2022-07-12 13:51:43,420] [INFO] [akka.actor.ActorCell] [Fog-akka.actor.default-dispatcher-11] [akka://Fog/user/weather-station-10] - Successfully registered data: DataRecorded{wsid='10'} from event time: 1657605101545
[2022-07-12 13:51:43,420] [INFO] [akka.actor.ActorCell] [Fog-akka.actor.default-dispatcher-12] [akka://Fog/user/weather-station-2] - Successfully registered data: DataRecorded{wsid='2'} from event time: 1657605101545
[2022-07-12 13:51:43,427] [INFO] [akka.actor.ActorCell] [Fog-akka.actor.default-dispatcher-12] [akka://Fog/user/weather-station-16] - Successfully registered data: DataRecorded{wsid='16'} from event time: 1657605101545
[2022-07-12 13:51:43,430] [INFO] [akka.actor.ActorCell] [Fog-akka.actor.default-dispatcher-9] [akka://Fog/user/weather-station-34] - Successfully registered data: DataRecorded{wsid='34'} from event time: 1657605102648
[2022-07-12 13:51:43,438] [INFO] [akka.actor.ActorCell] [Fog-akka.actor.default-dispatcher-12] [akka://Fog/user/weather-station-22] - Successfully registered data: DataRecorded{wsid='22'} from event time: 1657605102648
[2022-07-12 13:51:43,440] [INFO] [akka.actor.ActorCell] [Fog-akka.actor.default-dispatcher-12] [akka://Fog/user/weather-station-32] - Successfully registered data: DataRecorded{wsid='32'} from event time: 1657605102648
[2022-07-12 13:51:43,447] [INFO] [akka.actor.ActorCell] [Fog-akka.actor.default-dispatcher-11] [akka://Fog/user/weather-station-5] - Successfully registered data: DataRecorded{wsid='5'} from event time: 1657605101545
[2022-07-12 13:51:43,449] [INFO] [akka.actor.ActorCell] [Fog-akka.actor.default-dispatcher-11] [akka://Fog/user/weather-station-26] - Successfully registered data: DataRecorded{wsid='26'} from event time: 1657605102648
[2022-07-12 13:51:43,452] [INFO] [akka.actor.ActorCell] [Fog-akka.actor.default-dispatcher-11] [akka://Fog/user/weather-station-7] - Successfully registered data: DataRecorded{wsid='7'} from event time: 1657605101545
[2022-07-12 13:51:43,453] [INFO] [akka.actor.ActorCell] [Fog-akka.actor.default-dispatcher-11] [akka://Fog/user/weather-station-24] - Successfully registered data: DataRecorded{wsid='24'} from event time: 1657605102648
[2022-07-12 13:51:43,456] [INFO] [akka.actor.ActorCell] [Fog-akka.actor.default-dispatcher-12] [akka://Fog/user/weather-station-15] - Successfully registered data: DataRecorded{wsid='15'} from event time: 1657605101545
[2022-07-12 13:51:43,459] [INFO] [akka.actor.ActorCell] [Fog-akka.actor.default-dispatcher-11] [akka://Fog/user/weather-station-3] - Successfully registered data: DataRecorded{wsid='3'} from event time: 1657605101545
[2022-07-12 13:51:43,461] [INFO] [akka.actor.ActorCell] [Fog-akka.actor.default-dispatcher-9] [akka://Fog/user/weather-station-36] - Successfully registered data: DataRecorded{wsid='36'} from event time: 1657605102648
[2022-07-12 13:51:43,474] [INFO] [akka.actor.ActorCell] [Fog-akka.actor.default-dispatcher-9] [akka://Fog/user/weather-station-18] - Successfully registered data: DataRecorded{wsid='18'} from event time: 1657605102648
